"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"Tennessee"	"47"	84205	6886834	1222.7
	"2020"	"2020"	"Texas"	"48"	250339	29360759	852.6
	"2020"	"2020"	"Utah"	"49"	21497	3249879	661.5
	"2020"	"2020"	"Vermont"	"50"	6459	623347	1036.2
	"2020"	"2020"	"Virginia"	"51"	80596	8590563	938.2
	"2020"	"2020"	"Washington"	"53"	63146	7693612	820.8
	"2020"	"2020"	"West Virginia"	"54"	26106	1784787	1462.7
	"2020"	"2020"	"Wisconsin"	"55"	62706	5832655	1075.1
	"2020"	"2020"	"Wyoming"	"56"	5983	582328	1027.4
"Total"	"2020"	"2020"			3383729	329484123	1027.0
	"2021"	"2021"	"Alabama"	"01"	68889	5039877	1366.9
	"2021"	"2021"	"Alaska"	"02"	6208	732673	847.3
	"2021"	"2021"	"Arizona"	"04"	81442	7276316	1119.3
	"2021"	"2021"	"Arkansas"	"05"	40070	3025891	1324.2
	"2021"	"2021"	"California"	"06"	333249	39237836	849.3
	"2021"	"2021"	"Colorado"	"08"	48281	5812069	830.7
	"2021"	"2021"	"Connecticut"	"09"	34333	3605597	952.2
	"2021"	"2021"	"Delaware"	"10"	11296	1003384	1125.8
	"2021"	"2021"	"District of Columbia"	"11"	5833	670050	870.5
	"2021"	"2021"	"Florida"	"12"	261369	21781128	1200.0
	"2021"	"2021"	"Georgia"	"13"	112272	10799566	1039.6
	"2021"	"2021"	"Hawaii"	"15"	12816	1441553	889.0
	"2021"	"2021"	"Idaho"	"16"	18346	1900923	965.1
	"2021"	"2021"	"Illinois"	"17"	125048	12671469	986.8
	"2021"	"2021"	"Indiana"	"18"	78317	6805985	1150.7
	"2021"	"2021"	"Iowa"	"19"	34215	3193079	1071.5
	"2021"	"2021"	"Kansas"	"20"	32029	2934582	1091.4
	"2021"	"2021"	"Kentucky"	"21"	60303	4509394	1337.3
	"2021"	"2021"	"Louisiana"	"22"	57533	4624047	1244.2
	"2021"	"2021"	"Maine"	"23"	17269	1372247	1258.4
	"2021"	"2021"	"Maryland"	"24"	58117	6165129	942.7
	"2021"	"2021"	"Massachusetts"	"25"	63115	6984723	903.6
	"2021"	"2021"	"Michigan"	"26"	117782	10050811	1171.9
	"2021"	"2021"	"Minnesota"	"27"	51640	5707390	904.8
	"2021"	"2021"	"Mississippi"	"28"	41085	2949965	1392.7
	"2021"	"2021"	"Missouri"	"29"	73847	6168187	1197.2
	"2021"	"2021"	"Montana"	"30"	12707	1104271	1150.7
	"2021"	"2021"	"Nebraska"	"31"	18925	1963692	963.7
	"2021"	"2021"	"Nevada"	"32"	32923	3143991	1047.2
	"2021"	"2021"	"New Hampshire"	"33"	14198	1388992	1022.2
	"2021"	"2021"	"New Jersey"	"34"	84032	9267130	906.8
	"2021"	"2021"	"New Mexico"	"35"	25300	2115877	1195.7
	"2021"	"2021"	"New York"	"36"	181360	19835913	914.3
	"2021"	"2021"	"North Carolina"	"37"	118093	10551162	1119.2
	"2021"	"2021"	"North Dakota"	"38"	7266	774948	937.6
	"2021"	"2021"	"Ohio"	"39"	147635	11780017	1253.3
	"2021"	"2021"	"Oklahoma"	"40"	50945	3986639	1277.9
	"2021"	"2021"	"Oregon"	"41"	44989	4246155	1059.5
	"2021"	"2021"	"Pennsylvania"	"42"	155390	12964056	1198.6
	"2021"	"2021"	"Rhode Island"	"44"	11243	1095610	1026.2
	"2021"	"2021"	"South Carolina"	"45"	65422	5190705	1260.4
	"2021"	"2021"	"South Dakota"	"46"	9185	895376	1025.8
	"2021"	"2021"	"Tennessee"	"47"	91130	6975218	1306.5
	"2021"	"2021"	"Texas"	"48"	267651	29527941	906.4
	"2021"	"2021"	"Utah"	"49"	22569	3337975	676.1
	"2021"	"2021"	"Vermont"	"50"	6877	645570	1065.3
	"2021"	"2021"	"Virginia"	"51"	85940	8642274	994.4
	"2021"	"2021"	"Washington"	"53"	68689	7738692	887.6
	"2021"	"2021"	"West Virginia"	"54"	29503	1782959	1654.7
	"2021"	"2021"	"Wisconsin"	"55"	60973	5895908	1034.2
	"2021"	"2021"	"Wyoming"	"56"	6582	578803	1137.2
"Total"	"2021"	"2021"			3464231	331893745	1043.8
	"2022"	"2022"	"Alabama"	"01"	62294	5074296	1227.6
	"2022"	"2022"	"Alaska"	"02"	5719	733583	779.6
	"2022"	"2022"	"Arizona"	"04"	74082	7359197	1006.7
	"2022"	"2022"	"Arkansas"	"05"	37855	3045637	1242.9
	"2022"	"2022"	"California"	"06"	313161	39029342	802.4
	"2022"	"2022"	"Colorado"	"08"	46787	5839926	801.2
	"2022"	"2022"	"Connecticut"	"09"	34583	3626205	953.7
	"2022"	"2022"	"Delaware"	"10"	11351	1018396	1114.6
	"2022"	"2022"	"District of Columbia"	"11"	5385	671803	801.6
	"2022"	"2022"	"Florida"	"12"	239119	22244823	1074.9
	"2022"	"2022"	"Georgia"	"13"	102342	10912876	937.8
	"2022"	"2022"	"Hawaii"	"15"	13228	1440196	918.5
	"2022"	"2022"	"Idaho"	"16"	17162	1939033	885.1
	"2022"	"2022"	"Illinois"	"17"	122963	12582032	977.3
	"2022"	"2022"	"Indiana"	"18"	75368	6833037	1103.0
	"2022"	"2022"	"Iowa"	"19"	33973	3200517	1061.5
	"2022"	"2022"	"Kansas"	"20"	31551	2937150	1074.2
	"2022"	"2022"	"Kentucky"	"21"	57053	4512310	1264.4
	"2022"	"2022"	"Louisiana"	"22"	52339	4590241	1140.2
	"2022"	"2022"	"Maine"	"23"	17364	1385340	1253.4
	"2022"	"2022"	"Maryland"	"24"	56456	6164660	915.8
	"2022"	"2022"	"Massachusetts"	"25"	63366	6981974	907.6
	"2022"	"2022"	"Michigan"	"26"	110499	10034113	1101.2
	"2022"	"2022"	"Minnesota"	"27"	51222	5717184	895.9
	"2022"	"2022"	"Mississippi"	"28"	37803	2940057	1285.8
	"2022"	"2022"	"Missouri"	"29"	71851	6177957	1163.0
	"2022"	"2022"	"Montana"	"30"	11684	1122867	1040.6
	"2022"	"2022"	"Nebraska"	"31"	18615	1967923	945.9
	"2022"	"2022"	"Nevada"	"32"	30960	3177772	974.3
	"2022"	"2022"	"New Hampshire"	"33"	14515	1395231	1040.3
	"2022"	"2022"	"New Jersey"	"34"	81490	9261699	879.9
	"2022"	"2022"	"New Mexico"	"35"	23655	2113344	1119.3
	"2022"	"2022"	"New York"	"36"	173944	19677151	884.0
	"2022"	"2022"	"North Carolina"	"37"	112923	10698973	1055.5
	"2022"	"2022"	"North Dakota"	"38"	7041	779261	903.5
	"2022"	"2022"	"Ohio"	"39"	138209	11756058	1175.6
	"2022"	"2022"	"Oklahoma"	"40"	47976	4019800	1193.5
	"2022"	"2022"	"Oregon"	"41"	44598	4240137	1051.8
	"2022"	"2022"	"Pennsylvania"	"42"	147181	12972008	1134.6
	"2022"	"2022"	"Rhode Island"	"44"	10704	1093734	978.7
	"2022"	"2022"	"South Carolina"	"45"	61052	5282634	1155.7
	"2022"	"2022"	"South Dakota"	"46"	9016	909824	991.0
	"2022"	"2022"	"Tennessee"	"47"	84989	7051339	1205.3
	"2022"	"2022"	"Texas"	"48"	241441	30029572	804.0
	"2022"	"2022"	"Utah"	"49"	21886	3380800	647.4
	"2022"	"2022"	"Vermont"	"50"	6971	647064	1077.3
	"2022"	"2022"	"Virginia"	"51"	82935	8683619	955.1
	"2022"	"2022"	"Washington"	"53"	69194	7785786	888.7
	"2022"	"2022"	"West Virginia"	"54"	27507	1775156	1549.6
	"2022"	"2022"	"Wisconsin"	"55"	60590	5892539	1028.2
	"2022"	"2022"	"Wyoming"	"56"	5905	581381	1015.7
"Total"	"2022"	"2022"			3279857	333287557	984.1
	"2023 (provisional)"	"2023"	"Alabama"	"01"	59237	5074296	1167.4
	"2023 (provisional)"	"2023"	"Alaska"	"02"	5529	733583	753.7
	"2023 (provisional)"	"2023"	"Arizona"	"04"	69335	7359197	942.2
	"2023 (provisional)"	"2023"	"Arkansas"	"05"	35758	3045637	1174.1
	"2023 (provisional)"	"2023"	"California"	"06"	294735	39029342	755.2
	"2023 (provisional)"	"2023"	"Colorado"	"08"	44971	5839926	770.1
	"2023 (provisional)"	"2023"	"Connecticut"	"09"	32522	3626205	896.9
	"2023 (provisional)"	"2023"	"Delaware"	"10"	10649	1018396	1045.7
	"2023 (provisional)"	"2023"	"District of Columbia"	"11"	4916	671803	731.8
	"2023 (provisional)"	"2023"	"Florida"	"12"	228940	22244823	1029.2
	"2023 (provisional)"	"2023"	"Georgia"	"13"	96527	10912876	884.5
	"2023 (provisional)"	"2023"	"Hawaii"	"15"	12646	1440196	878.1
	"2023 (provisional)"	"2023"	"Idaho"	"16"	16474	1939033	849.6
	"2023 (provisional)"	"2023"	"Illinois"	"17"	113749	12582032	904.1
	"2023 (provisional)"	"2023"	"Indiana"	"18"	69942	6833037	1023.6
	"2023 (provisional)"	"2023"	"Iowa"	"19"	32552	3200517	1017.1
	"2023 (provisional)"	"2023"	"Kansas"	"20"	29267	2937150	996.4
	"2023 (provisional)"	"2023"	"Kentucky"	"21"	53044	4512310	1175.5
	"2023 (provisional)"	"2023"	"Louisiana"	"22"	49437	4590241	1077.0
	"2023 (provisional)"	"2023"	"Maine"	"23"	16750	1385340	1209.1
	"2023 (provisional)"	"2023"	"Maryland"	"24"	53432	6164660	866.7
	"2023 (provisional)"	"2023"	"Massachusetts"	"25"	61171	6981974	876.1
	"2023 (provisional)"	"2023"	"Michigan"	"26"	103302	10034113	1029.5
	"2023 (provisional)"	"2023"	"Minnesota"	"27"	49203	5717184	860.6
	"2023 (provisional)"	"2023"	"Mississippi"	"28"	35051	2940057	1192.2
	"2023 (provisional)"	"2023"	"Missouri"	"29"	66496	6177957	1076.3
	"2023 (provisional)"	"2023"	"Montana"	"30"	11193	1122867	996.8
	"2023 (provisional)"	"2023"	"Nebraska"	"31"	18306	1967923	930.2
	"2023 (provisional)"	"2023"	"Nevada"	"32"	29008	3177772	912.8
	"2023 (provisional)"	"2023"	"New Hampshire"	"33"	14146	1395231	1013.9
	"2023 (provisional)"	"2023"	"New Jersey"	"34"	75367	9261699	813.7
	"2023 (provisional)"	"2023"	"New Mexico"	"35"	22287	2113344	1054.6
	"2023 (provisional)"	"2023"	"New York"	"36"	162173	19677151	824.2
	"2023 (provisional)"	"2023"	"North Carolina"	"37"	107748	10698973	1007.1
	"2023 (provisional)"	"2023"	"North Dakota"	"38"	6832	779261	876.7
	"2023 (provisional)"	"2023"	"Ohio"	"39"	127813	11756058	1087.2
	"2023 (provisional)"	"2023"	"Oklahoma"	"40"	44172	4019800	1098.9
	"2023 (provisional)"	"2023"	"Oregon"	"41"	42532	4240137	1003.1
	"2023 (provisional)"	"2023"	"Pennsylvania"	"42"	138029	12972008	1064.1
	"2023 (provisional)"	"2023"	"Rhode Island"	"44"	10435	1093734	954.1
	"2023 (provisional)"	"2023"	"South Carolina"	"45"	58012	5282634	1098.2
	"2023 (provisional)"	"2023"	"South Dakota"	"46"	8548	909824	939.5
	"2023 (provisional)"	"2023"	"Tennessee"	"47"	79601	7051339	1128.9
	"2023 (provisional)"	"2023"	"Texas"	"48"	229122	30029572	763.0
	"2023 (provisional)"	"2023"	"Utah"	"49"	21275	3380800	629.3
	"2023 (provisional)"	"2023"	"Vermont"	"50"	6770	647064	1046.3
	"2023 (provisional)"	"2023"	"Virginia"	"51"	78158	8683619	900.1
	"2023 (provisional)"	"2023"	"Washington"	"53"	66016	7785786	847.9
	"2023 (provisional)"	"2023"	"West Virginia"	"54"	24693	1775156	1391.0
	"2023 (provisional)"	"2023"	"Wisconsin"	"55"	57507	5892539	975.9
	"2023 (provisional)"	"2023"	"Wyoming"	"56"	5586	581381	960.8
"Total"	"2023 (provisional)"	"2023"			3090964	333287557	927.4
	"2024 (provisional and partial)"	"2024"	"Alabama"	"01"	54992	5074296	1083.7
	"2024 (provisional and partial)"	"2024"	"Alaska"	"02"	5012	733583	683.2
	"2024 (provisional and partial)"	"2024"	"Arizona"	"04"	66950	7359197	909.7
	"2024 (provisional and partial)"	"2024"	"Arkansas"	"05"	34249	3045637	1124.5
	"2024 (provisional and partial)"	"2024"	"California"	"06"	272588	39029342	698.4
	"2024 (provisional and partial)"	"2024"	"Colorado"	"08"	41544	5839926	711.4
	"2024 (provisional and partial)"	"2024"	"Connecticut"	"09"	31219	3626205	860.9
	"2024 (provisional and partial)"	"2024"	"Delaware"	"10"	10088	1018396	990.6
	"2024 (provisional and partial)"	"2024"	"District of Columbia"	"11"	4450	671803	662.4
	"2024 (provisional and partial)"	"2024"	"Florida"	"12"	215873	22244823	970.4
	"2024 (provisional and partial)"	"2024"	"Georgia"	"13"	88665	10912876	812.5
	"2024 (provisional and partial)"	"2024"	"Hawaii"	"15"	12171	1440196	845.1
	"2024 (provisional and partial)"	"2024"	"Idaho"	"16"	15754	1939033	812.5
	"2024 (provisional and partial)"	"2024"	"Illinois"	"17"	106898	12582032	849.6
	"2024 (provisional and partial)"	"2024"	"Indiana"	"18"	65300	6833037	955.7
	"2024 (provisional and partial)"	"2024"	"Iowa"	"19"	31104	3200517	971.8
	"2024 (provisional and partial)"	"2024"	"Kansas"	"20"	27757	2937150	945.0
	"2024 (provisional and partial)"	"2024"	"Kentucky"	"21"	48820	4512310	1081.9
	"2024 (provisional and partial)"	"2024"	"Louisiana"	"22"	44958	4590241	979.4
	"2024 (provisional and partial)"	"2024"	"Maine"	"23"	15955	1385340	1151.7
	"2024 (provisional and partial)"	"2024"	"Maryland"	"24"	50570	6164660	820.3
	"2024 (provisional and partial)"	"2024"	"Massachusetts"	"25"	57318	6981974	820.9
	"2024 (provisional and partial)"	"2024"	"Michigan"	"26"	98209	10034113	978.8
	"2024 (provisional and partial)"	"2024"	"Minnesota"	"27"	47286	5717184	827.1
	"2024 (provisional and partial)"	"2024"	"Mississippi"	"28"	33416	2940057	1136.6
	"2024 (provisional and partial)"	"2024"	"Missouri"	"29"	62120	6177957	1005.5
	"2024 (provisional and partial)"	"2024"	"Montana"	"30"	10963	1122867	976.3
	"2024 (provisional and partial)"	"2024"	"Nebraska"	"31"	17189	1967923	873.5
	"2024 (provisional and partial)"	"2024"	"Nevada"	"32"	27689	3177772	871.3
	"2024 (provisional and partial)"	"2024"	"New Hampshire"	"33"	13369	1395231	958.2
	"2024 (provisional and partial)"	"2024"	"New Jersey"	"34"	71477	9261699	771.7
	"2024 (provisional and partial)"	"2024"	"New Mexico"	"35"	20455	2113344	967.9
	"2024 (provisional and partial)"	"2024"	"New York"	"36"	153562	19677151	780.4
	"2024 (provisional and partial)"	"2024"	"North Carolina"	"37"	101005	10698973	944.1
	"2024 (provisional and partial)"	"2024"	"North Dakota"	"38"	6546	779261	840.0
	"2024 (provisional and partial)"	"2024"	"Ohio"	"39"	119452	11756058	1016.1
	"2024 (provisional and partial)"	"2024"	"Oklahoma"	"40"	42336	4019800	1053.2
	"2024 (provisional and partial)"	"2024"	"Oregon"	"41"	39562	4240137	933.0
	"2024 (provisional and partial)"	"2024"	"Pennsylvania"	"42"	127479	12972008	982.7
	"2024 (provisional and partial)"	"2024"	"Rhode Island"	"44"	9841	1093734	899.8
	"2024 (provisional and partial)"	"2024"	"South Carolina"	"45"	55170	5282634	1044.4
	"2024 (provisional and partial)"	"2024"	"South Dakota"	"46"	8027	909824	882.3
	"2024 (provisional and partial)"	"2024"	"Tennessee"	"47"	72499	7051339	1028.2
	"2024 (provisional and partial)"	"2024"	"Texas"	"48"	215618	30029572	718.0
	"2024 (provisional and partial)"	"2024"	"Utah"	"49"	20576	3380800	608.6
	"2024 (provisional and partial)"	"2024"	"Vermont"	"50"	6425	647064	992.9
	"2024 (provisional and partial)"	"2024"	"Virginia"	"51"	71641	8683619	825.0
	"2024 (provisional and partial)"	"2024"	"Washington"	"53"	62162	7785786	798.4
	"2024 (provisional and partial)"	"2024"	"West Virginia"	"54"	23125	1775156	1302.7
	"2024 (provisional and partial)"	"2024"	"Wisconsin"	"55"	54052	5892539	917.3
	"2024 (provisional and partial)"	"2024"	"Wyoming"	"56"	5407	581381	930.0
"Total"	"2024 (provisional and partial)"	"2024"			2898893	333287557	869.8
"Total"					21811717	2316647496	941.5
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Group By: Year; Residence State"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Jan 5, 2025 3:34:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Jan 5, 2025 3:34:44 PM"
"---"
Caveats:
"1. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
