"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Mar., 2018"	"2018/03"	"100+ years"	"100+"	2618	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"< 1 year"	"1"	1756	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"1-4 years"	"1-4"	271	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"5-9 years"	"5-9"	182	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"10-14 years"	"10-14"	259	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"15-19 years"	"15-19"	803	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"20-24 years"	"20-24"	1603	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"25-29 years"	"25-29"	2284	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"30-34 years"	"30-34"	2445	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"35-39 years"	"35-39"	2987	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"40-44 years"	"40-44"	3443	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"45-49 years"	"45-49"	5292	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"50-54 years"	"50-54"	8108	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"55-59 years"	"55-59"	13069	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"60-64 years "	"60-64"	17402	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"65-69 years"	"65-69"	20736	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"70-74 years"	"70-74"	24064	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"75-79 years"	"75-79"	26245	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"80-84 years"	"80-84"	29165	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"85-89 years"	"85-89"	32036	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"90-94 years"	"90-94"	26686	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"95-99 years"	"95-99"	11793	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"100+ years"	"100+"	2522	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"< 1 year"	"1"	1785	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"1-4 years"	"1-4"	381	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"5-9 years"	"5-9"	203	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"10-14 years"	"10-14"	271	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"15-19 years"	"15-19"	935	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"20-24 years"	"20-24"	1760	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"25-29 years"	"25-29"	2364	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"30-34 years"	"30-34"	2698	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"35-39 years"	"35-39"	3065	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"40-44 years"	"40-44"	3537	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"45-49 years"	"45-49"	5373	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"50-54 years"	"50-54"	8245	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"55-59 years"	"55-59"	13069	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"60-64 years "	"60-64"	17518	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"65-69 years"	"65-69"	20379	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"70-74 years"	"70-74"	23536	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"75-79 years"	"75-79"	26000	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"80-84 years"	"80-84"	28197	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"85-89 years"	"85-89"	30663	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"90-94 years"	"90-94"	25260	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"95-99 years"	"95-99"	11229	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"100+ years"	"100+"	2294	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"< 1 year"	"1"	1707	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"1-4 years"	"1-4"	336	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"5-9 years"	"5-9"	198	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"10-14 years"	"10-14"	259	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"15-19 years"	"15-19"	922	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"20-24 years"	"20-24"	1700	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"25-29 years"	"25-29"	2382	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"30-34 years"	"30-34"	2607	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"35-39 years"	"35-39"	3309	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"40-44 years"	"40-44"	3533	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"45-49 years"	"45-49"	5237	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"50-54 years"	"50-54"	8054	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"55-59 years"	"55-59"	12978	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"60-64 years "	"60-64"	16971	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"65-69 years"	"65-69"	19646	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"70-74 years"	"70-74"	22896	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"75-79 years"	"75-79"	24470	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"80-84 years"	"80-84"	26815	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"85-89 years"	"85-89"	29253	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"90-94 years"	"90-94"	23889	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"95-99 years"	"95-99"	10656	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"100+ years"	"100+"	2275	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"< 1 year"	"1"	1826	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"1-4 years"	"1-4"	365	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"5-9 years"	"5-9"	206	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"10-14 years"	"10-14"	271	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"15-19 years"	"15-19"	943	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"20-24 years"	"20-24"	1771	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"25-29 years"	"25-29"	2445	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"30-34 years"	"30-34"	2735	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"35-39 years"	"35-39"	3321	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"40-44 years"	"40-44"	3602	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"45-49 years"	"45-49"	5464	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"50-54 years"	"50-54"	8360	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"55-59 years"	"55-59"	13139	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"60-64 years "	"60-64"	17515	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"65-69 years"	"65-69"	20068	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"70-74 years"	"70-74"	23252	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"75-79 years"	"75-79"	25366	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"80-84 years"	"80-84"	27564	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"85-89 years"	"85-89"	29483	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"90-94 years"	"90-94"	24149	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"95-99 years"	"95-99"	10975	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"100+ years"	"100+"	2277	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"< 1 year"	"1"	1813	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"1-4 years"	"1-4"	333	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"5-9 years"	"5-9"	196	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"10-14 years"	"10-14"	250	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"15-19 years"	"15-19"	831	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"20-24 years"	"20-24"	1684	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"25-29 years"	"25-29"	2370	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"30-34 years"	"30-34"	2707	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"35-39 years"	"35-39"	3190	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"40-44 years"	"40-44"	3685	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"45-49 years"	"45-49"	5442	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"50-54 years"	"50-54"	8153	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"55-59 years"	"55-59"	13218	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"60-64 years "	"60-64"	17348	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"65-69 years"	"65-69"	19995	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"70-74 years"	"70-74"	23435	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"75-79 years"	"75-79"	25531	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"80-84 years"	"80-84"	27413	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"85-89 years"	"85-89"	29272	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"90-94 years"	"90-94"	24205	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"95-99 years"	"95-99"	10867	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"100+ years"	"100+"	2305	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"< 1 year"	"1"	1830	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"1-4 years"	"1-4"	304	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"5-9 years"	"5-9"	176	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"10-14 years"	"10-14"	241	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"15-19 years"	"15-19"	884	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"20-24 years"	"20-24"	1653	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"25-29 years"	"25-29"	2310	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"30-34 years"	"30-34"	2647	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"35-39 years"	"35-39"	3116	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"40-44 years"	"40-44"	3540	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"45-49 years"	"45-49"	5204	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"50-54 years"	"50-54"	7911	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"55-59 years"	"55-59"	12614	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"60-64 years "	"60-64"	16454	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"65-69 years"	"65-69"	19793	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"70-74 years"	"70-74"	22678	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"75-79 years"	"75-79"	24972	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"80-84 years"	"80-84"	26884	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"85-89 years"	"85-89"	28704	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"90-94 years"	"90-94"	23664	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"95-99 years"	"95-99"	10888	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"100+ years"	"100+"	2215	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Not Stated"	"NS"	14	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"< 1 year"	"1"	1858	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"1-4 years"	"1-4"	276	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"5-9 years"	"5-9"	179	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"10-14 years"	"10-14"	259	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"15-19 years"	"15-19"	878	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"20-24 years"	"20-24"	1708	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"25-29 years"	"25-29"	2281	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"30-34 years"	"30-34"	2631	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"35-39 years"	"35-39"	3089	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"40-44 years"	"40-44"	3592	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"45-49 years"	"45-49"	5291	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"50-54 years"	"50-54"	8178	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"55-59 years"	"55-59"	13166	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"60-64 years "	"60-64"	17689	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"65-69 years"	"65-69"	20825	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"70-74 years"	"70-74"	24361	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"75-79 years"	"75-79"	26934	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"80-84 years"	"80-84"	29031	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"85-89 years"	"85-89"	31346	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"90-94 years"	"90-94"	26083	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"95-99 years"	"95-99"	11740	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"100+ years"	"100+"	2490	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"< 1 year"	"1"	1724	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"1-4 years"	"1-4"	316	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"5-9 years"	"5-9"	168	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"10-14 years"	"10-14"	247	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"15-19 years"	"15-19"	832	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"20-24 years"	"20-24"	1530	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"25-29 years"	"25-29"	2190	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"30-34 years"	"30-34"	2468	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"35-39 years"	"35-39"	3044	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"40-44 years"	"40-44"	3507	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"45-49 years"	"45-49"	5169	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"50-54 years"	"50-54"	7935	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"55-59 years"	"55-59"	13055	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"60-64 years "	"60-64"	17708	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"65-69 years"	"65-69"	20758	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"70-74 years"	"70-74"	24261	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"75-79 years"	"75-79"	26891	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"80-84 years"	"80-84"	29215	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"85-89 years"	"85-89"	31748	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"90-94 years"	"90-94"	26160	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"95-99 years"	"95-99"	11912	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"100+ years"	"100+"	2525	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"< 1 year"	"1"	1739	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"1-4 years"	"1-4"	273	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"5-9 years"	"5-9"	195	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"10-14 years"	"10-14"	259	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"15-19 years"	"15-19"	811	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"20-24 years"	"20-24"	1546	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"25-29 years"	"25-29"	2190	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"30-34 years"	"30-34"	2631	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"35-39 years"	"35-39"	3179	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"40-44 years"	"40-44"	3597	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"45-49 years"	"45-49"	5584	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"50-54 years"	"50-54"	8524	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"55-59 years"	"55-59"	13869	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"60-64 years "	"60-64"	18766	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"65-69 years"	"65-69"	22054	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"70-74 years"	"70-74"	25899	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"75-79 years"	"75-79"	28572	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"80-84 years"	"80-84"	31720	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"85-89 years"	"85-89"	33737	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"90-94 years"	"90-94"	28441	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"95-99 years"	"95-99"	12910	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"100+ years"	"100+"	2773	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"< 1 year"	"1"	1706	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"1-4 years"	"1-4"	303	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"5-9 years"	"5-9"	216	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"10-14 years"	"10-14"	255	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"15-19 years"	"15-19"	788	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"20-24 years"	"20-24"	1536	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"25-29 years"	"25-29"	2106	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"30-34 years"	"30-34"	2487	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"35-39 years"	"35-39"	3265	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	"40-44 years"	"40-44"	3716	Not Applicable	Not Applicable
