"Notes"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"1"	"Oklahoma"	"40"	353	50353	701.1
	"2018"	"2018"	"< 1 year"	"1"	"Oregon"	"41"	176	45259	388.9
	"2018"	"2018"	"< 1 year"	"1"	"Pennsylvania"	"42"	805	135446	594.3
	"2018"	"2018"	"< 1 year"	"1"	"Rhode Island"	"44"	53	10557	502.0
	"2018"	"2018"	"< 1 year"	"1"	"South Carolina"	"45"	406	55932	725.9
	"2018"	"2018"	"< 1 year"	"1"	"South Dakota"	"46"	70	12109	578.1
	"2018"	"2018"	"< 1 year"	"1"	"Tennessee"	"47"	560	78974	709.1
	"2018"	"2018"	"< 1 year"	"1"	"Texas"	"48"	2083	390665	533.2
	"2018"	"2018"	"< 1 year"	"1"	"Utah"	"49"	261	50160	520.3
	"2018"	"2018"	"< 1 year"	"1"	"Vermont"	"50"	35	5632	621.4
	"2018"	"2018"	"< 1 year"	"1"	"Virginia"	"51"	558	99261	562.2
	"2018"	"2018"	"< 1 year"	"1"	"Washington"	"53"	401	90662	442.3
	"2018"	"2018"	"< 1 year"	"1"	"West Virginia"	"54"	130	17871	727.4
	"2018"	"2018"	"< 1 year"	"1"	"Wisconsin"	"55"	393	64588	608.5
	"2018"	"2018"	"< 1 year"	"1"	"Wyoming"	"56"	35	6823	513.0
"Total"	"2018"	"2018"	"< 1 year"	"1"			21467	3848208	557.8
	"2018"	"2018"	"1-4 years"	"1-4"	"Alabama"	"01"	89	236464	37.6
	"2018"	"2018"	"1-4 years"	"1-4"	"Alaska"	"02"	11	42450	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Arizona"	"04"	114	352383	32.4
	"2018"	"2018"	"1-4 years"	"1-4"	"Arkansas"	"05"	62	153442	40.4
	"2018"	"2018"	"1-4 years"	"1-4"	"California"	"06"	342	1963980	17.4
	"2018"	"2018"	"1-4 years"	"1-4"	"Colorado"	"08"	77	270729	28.4
	"2018"	"2018"	"1-4 years"	"1-4"	"Connecticut"	"09"	19	148021	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Delaware"	"10"	15	44166	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"District of Columbia"	"11"	Suppressed	35747	Suppressed
	"2018"	"2018"	"1-4 years"	"1-4"	"Florida"	"12"	246	921143	26.7
	"2018"	"2018"	"1-4 years"	"1-4"	"Georgia"	"13"	145	530462	27.3
	"2018"	"2018"	"1-4 years"	"1-4"	"Hawaii"	"15"	12	70480	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Idaho"	"16"	15	93991	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Illinois"	"17"	125	612996	20.4
	"2018"	"2018"	"1-4 years"	"1-4"	"Indiana"	"18"	95	338005	28.1
	"2018"	"2018"	"1-4 years"	"1-4"	"Iowa"	"19"	33	159927	20.6
	"2018"	"2018"	"1-4 years"	"1-4"	"Kansas"	"20"	30	152896	19.6
	"2018"	"2018"	"1-4 years"	"1-4"	"Kentucky"	"21"	64	221855	28.8
	"2018"	"2018"	"1-4 years"	"1-4"	"Louisiana"	"22"	88	247264	35.6
	"2018"	"2018"	"1-4 years"	"1-4"	"Maine"	"23"	Suppressed	51873	Suppressed
	"2018"	"2018"	"1-4 years"	"1-4"	"Maryland"	"24"	66	293661	22.5
	"2018"	"2018"	"1-4 years"	"1-4"	"Massachusetts"	"25"	48	289374	16.6
	"2018"	"2018"	"1-4 years"	"1-4"	"Michigan"	"26"	136	461862	29.4
	"2018"	"2018"	"1-4 years"	"1-4"	"Minnesota"	"27"	56	286725	19.5
	"2018"	"2018"	"1-4 years"	"1-4"	"Mississippi"	"28"	71	149599	47.5
	"2018"	"2018"	"1-4 years"	"1-4"	"Missouri"	"29"	85	300455	28.3
	"2018"	"2018"	"1-4 years"	"1-4"	"Montana"	"30"	11	50437	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Nebraska"	"31"	30	107159	28.0
	"2018"	"2018"	"1-4 years"	"1-4"	"Nevada"	"32"	37	150214	24.6
	"2018"	"2018"	"1-4 years"	"1-4"	"New Hampshire"	"33"	12	51803	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"New Jersey"	"34"	63	418264	15.1
	"2018"	"2018"	"1-4 years"	"1-4"	"New Mexico"	"35"	22	100578	21.9
	"2018"	"2018"	"1-4 years"	"1-4"	"New York"	"36"	168	912559	18.4
	"2018"	"2018"	"1-4 years"	"1-4"	"North Carolina"	"37"	118	491578	24.0
	"2018"	"2018"	"1-4 years"	"1-4"	"North Dakota"	"38"	Suppressed	43893	Suppressed
	"2018"	"2018"	"1-4 years"	"1-4"	"Ohio"	"39"	168	560787	30.0
	"2018"	"2018"	"1-4 years"	"1-4"	"Oklahoma"	"40"	67	210076	31.9
	"2018"	"2018"	"1-4 years"	"1-4"	"Oregon"	"41"	30	188955	15.9
	"2018"	"2018"	"1-4 years"	"1-4"	"Pennsylvania"	"42"	129	567551	22.7
	"2018"	"2018"	"1-4 years"	"1-4"	"Rhode Island"	"44"	Suppressed	43856	Suppressed
	"2018"	"2018"	"1-4 years"	"1-4"	"South Carolina"	"45"	71	236459	30.0
	"2018"	"2018"	"1-4 years"	"1-4"	"South Dakota"	"46"	16	50023	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Tennessee"	"47"	109	327600	33.3
	"2018"	"2018"	"1-4 years"	"1-4"	"Texas"	"48"	441	1633461	27.0
	"2018"	"2018"	"1-4 years"	"1-4"	"Utah"	"49"	39	202844	19.2
	"2018"	"2018"	"1-4 years"	"1-4"	"Vermont"	"50"	Suppressed	24049	Suppressed
	"2018"	"2018"	"1-4 years"	"1-4"	"Virginia"	"51"	78	411663	18.9
	"2018"	"2018"	"1-4 years"	"1-4"	"Washington"	"53"	63	372039	16.9
	"2018"	"2018"	"1-4 years"	"1-4"	"West Virginia"	"54"	17	77386	Unreliable
	"2018"	"2018"	"1-4 years"	"1-4"	"Wisconsin"	"55"	65	269794	24.1
	"2018"	"2018"	"1-4 years"	"1-4"	"Wyoming"	"56"	Suppressed	29089	Suppressed
"Total"	"2018"	"2018"	"1-4 years"	"1-4"			3830	15962067	24.0
	"2018"	"2018"	"5-9 years"	"5-9"	"Alabama"	"01"	55	297900	18.5
	"2018"	"2018"	"5-9 years"	"5-9"	"Alaska"	"02"	16	52056	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Arizona"	"04"	46	451726	10.2
	"2018"	"2018"	"5-9 years"	"5-9"	"Arkansas"	"05"	35	193284	18.1
	"2018"	"2018"	"5-9 years"	"5-9"	"California"	"06"	215	2488902	8.6
	"2018"	"2018"	"5-9 years"	"5-9"	"Colorado"	"08"	38	347953	10.9
	"2018"	"2018"	"5-9 years"	"5-9"	"Connecticut"	"09"	23	196011	11.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Delaware"	"10"	Suppressed	56247	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"District of Columbia"	"11"	Suppressed	37622	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Florida"	"12"	147	1157587	12.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Georgia"	"13"	90	685904	13.1
	"2018"	"2018"	"5-9 years"	"5-9"	"Hawaii"	"15"	Suppressed	86869	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Idaho"	"16"	11	122965	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Illinois"	"17"	82	778102	10.5
	"2018"	"2018"	"5-9 years"	"5-9"	"Indiana"	"18"	58	430106	13.5
	"2018"	"2018"	"5-9 years"	"5-9"	"Iowa"	"19"	28	201115	13.9
	"2018"	"2018"	"5-9 years"	"5-9"	"Kansas"	"20"	27	197621	13.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Kentucky"	"21"	41	276726	14.8
	"2018"	"2018"	"5-9 years"	"5-9"	"Louisiana"	"22"	51	301567	16.9
	"2018"	"2018"	"5-9 years"	"5-9"	"Maine"	"23"	Suppressed	67596	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Maryland"	"24"	37	370444	10.0
	"2018"	"2018"	"5-9 years"	"5-9"	"Massachusetts"	"25"	36	370010	9.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Michigan"	"26"	87	586648	14.8
	"2018"	"2018"	"5-9 years"	"5-9"	"Minnesota"	"27"	40	360434	11.1
	"2018"	"2018"	"5-9 years"	"5-9"	"Mississippi"	"28"	37	192967	19.2
	"2018"	"2018"	"5-9 years"	"5-9"	"Missouri"	"29"	52	377947	13.8
	"2018"	"2018"	"5-9 years"	"5-9"	"Montana"	"30"	Suppressed	63526	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Nebraska"	"31"	15	132340	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Nevada"	"32"	25	191607	13.0
	"2018"	"2018"	"5-9 years"	"5-9"	"New Hampshire"	"33"	Suppressed	69360	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"New Jersey"	"34"	68	533562	12.7
	"2018"	"2018"	"5-9 years"	"5-9"	"New Mexico"	"35"	21	134822	15.6
	"2018"	"2018"	"5-9 years"	"5-9"	"New York"	"36"	110	1119326	9.8
	"2018"	"2018"	"5-9 years"	"5-9"	"North Carolina"	"37"	75	628094	11.9
	"2018"	"2018"	"5-9 years"	"5-9"	"North Dakota"	"38"	10	50206	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Ohio"	"39"	76	708148	10.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Oklahoma"	"40"	35	267797	13.1
	"2018"	"2018"	"5-9 years"	"5-9"	"Oregon"	"41"	21	242575	8.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Pennsylvania"	"42"	79	725614	10.9
	"2018"	"2018"	"5-9 years"	"5-9"	"Rhode Island"	"44"	Suppressed	54840	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"South Carolina"	"45"	42	306255	13.7
	"2018"	"2018"	"5-9 years"	"5-9"	"South Dakota"	"46"	Suppressed	60762	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Tennessee"	"47"	56	412340	13.6
	"2018"	"2018"	"5-9 years"	"5-9"	"Texas"	"48"	236	2047747	11.5
	"2018"	"2018"	"5-9 years"	"5-9"	"Utah"	"49"	17	259078	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Vermont"	"50"	Suppressed	31272	Suppressed
	"2018"	"2018"	"5-9 years"	"5-9"	"Virginia"	"51"	52	514457	10.1
	"2018"	"2018"	"5-9 years"	"5-9"	"Washington"	"53"	44	466916	9.4
	"2018"	"2018"	"5-9 years"	"5-9"	"West Virginia"	"54"	14	101043	Unreliable
	"2018"	"2018"	"5-9 years"	"5-9"	"Wisconsin"	"55"	27	349799	7.7
	"2018"	"2018"	"5-9 years"	"5-9"	"Wyoming"	"56"	Suppressed	37847	Suppressed
"Total"	"2018"	"2018"	"5-9 years"	"5-9"			2330	20195642	11.5
	"2018"	"2018"	"10-14 years"	"10-14"	"Alabama"	"01"	51	310495	16.4
	"2018"	"2018"	"10-14 years"	"10-14"	"Alaska"	"02"	10	49759	Unreliable
	"2018"	"2018"	"10-14 years"	"10-14"	"Arizona"	"04"	85	476421	17.8
	"2018"	"2018"	"10-14 years"	"10-14"	"Arkansas"	"05"	43	200786	21.4
	"2018"	"2018"	"10-14 years"	"10-14"	"California"	"06"	263	2547973	10.3
	"2018"	"2018"	"10-14 years"	"10-14"	"Colorado"	"08"	61	365378	16.7
	"2018"	"2018"	"10-14 years"	"10-14"	"Connecticut"	"09"	20	217897	9.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Delaware"	"10"	Suppressed	57654	Suppressed
	"2018"	"2018"	"10-14 years"	"10-14"	"District of Columbia"	"11"	Suppressed	28573	Suppressed
	"2018"	"2018"	"10-14 years"	"10-14"	"Florida"	"12"	153	1206247	12.7
	"2018"	"2018"	"10-14 years"	"10-14"	"Georgia"	"13"	118	727758	16.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Hawaii"	"15"	Suppressed	81954	Suppressed
	"2018"	"2018"	"10-14 years"	"10-14"	"Idaho"	"16"	26	131036	19.8
	"2018"	"2018"	"10-14 years"	"10-14"	"Illinois"	"17"	141	819148	17.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Indiana"	"18"	70	448590	15.6
	"2018"	"2018"	"10-14 years"	"10-14"	"Iowa"	"19"	32	208564	15.3
	"2018"	"2018"	"10-14 years"	"10-14"	"Kansas"	"20"	35	200446	17.5
	"2018"	"2018"	"10-14 years"	"10-14"	"Kentucky"	"21"	37	285788	12.9
	"2018"	"2018"	"10-14 years"	"10-14"	"Louisiana"	"22"	64	307358	20.8
	"2018"	"2018"	"10-14 years"	"10-14"	"Maine"	"23"	12	73235	Unreliable
	"2018"	"2018"	"10-14 years"	"10-14"	"Maryland"	"24"	37	378506	9.8
	"2018"	"2018"	"10-14 years"	"10-14"	"Massachusetts"	"25"	27	389142	6.9
	"2018"	"2018"	"10-14 years"	"10-14"	"Michigan"	"26"	117	619422	18.9
	"2018"	"2018"	"10-14 years"	"10-14"	"Minnesota"	"27"	49	370652	13.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Mississippi"	"28"	49	206927	23.7
	"2018"	"2018"	"10-14 years"	"10-14"	"Missouri"	"29"	61	391940	15.6
	"2018"	"2018"	"10-14 years"	"10-14"	"Montana"	"30"	21	65281	32.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Nebraska"	"31"	24	133482	18.0
	"2018"	"2018"	"10-14 years"	"10-14"	"Nevada"	"32"	23	197022	11.7
	"2018"	"2018"	"10-14 years"	"10-14"	"New Hampshire"	"33"	12	76114	Unreliable
	"2018"	"2018"	"10-14 years"	"10-14"	"New Jersey"	"34"	63	558614	11.3
	"2018"	"2018"	"10-14 years"	"10-14"	"New Mexico"	"35"	38	139941	27.2
	"2018"	"2018"	"10-14 years"	"10-14"	"New York"	"36"	149	1117870	13.3
	"2018"	"2018"	"10-14 years"	"10-14"	"North Carolina"	"37"	113	664208	17.0
	"2018"	"2018"	"10-14 years"	"10-14"	"North Dakota"	"38"	10	47648	Unreliable
	"2018"	"2018"	"10-14 years"	"10-14"	"Ohio"	"39"	117	737787	15.9
	"2018"	"2018"	"10-14 years"	"10-14"	"Oklahoma"	"40"	52	270110	19.3
	"2018"	"2018"	"10-14 years"	"10-14"	"Oregon"	"41"	41	249214	16.5
	"2018"	"2018"	"10-14 years"	"10-14"	"Pennsylvania"	"42"	122	755233	16.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Rhode Island"	"44"	Suppressed	58821	Suppressed
	"2018"	"2018"	"10-14 years"	"10-14"	"South Carolina"	"45"	51	319554	16.0
	"2018"	"2018"	"10-14 years"	"10-14"	"South Dakota"	"46"	14	60882	Unreliable
	"2018"	"2018"	"10-14 years"	"10-14"	"Tennessee"	"47"	74	430114	17.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Texas"	"48"	322	2091419	15.4
	"2018"	"2018"	"10-14 years"	"10-14"	"Utah"	"49"	43	266799	16.1
	"2018"	"2018"	"10-14 years"	"10-14"	"Vermont"	"50"	Suppressed	33761	Suppressed
	"2018"	"2018"	"10-14 years"	"10-14"	"Virginia"	"51"	86	528362	16.3
	"2018"	"2018"	"10-14 years"	"10-14"	"Washington"	"53"	64	462802	13.8
	"2018"	"2018"	"10-14 years"	"10-14"	"West Virginia"	"54"	25	104388	23.9
	"2018"	"2018"	"10-14 years"	"10-14"	"Wisconsin"	"55"	60	369348	16.2
	"2018"	"2018"	"10-14 years"	"10-14"	"Wyoming"	"56"	Suppressed	39104	Suppressed
"Total"	"2018"	"2018"	"10-14 years"	"10-14"			3120	20879527	14.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Alabama"	"01"	238	315680	75.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Alaska"	"02"	36	46263	77.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Arizona"	"04"	294	473794	62.1
	"2018"	"2018"	"15-19 years"	"15-19"	"Arkansas"	"05"	137	197707	69.3
	"2018"	"2018"	"15-19 years"	"15-19"	"California"	"06"	968	2545375	38.0
	"2018"	"2018"	"15-19 years"	"15-19"	"Colorado"	"08"	200	363364	55.0
	"2018"	"2018"	"15-19 years"	"15-19"	"Connecticut"	"09"	77	241904	31.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Delaware"	"10"	39	60363	64.6
	"2018"	"2018"	"15-19 years"	"15-19"	"District of Columbia"	"11"	23	36900	62.3
	"2018"	"2018"	"15-19 years"	"15-19"	"Florida"	"12"	588	1206422	48.7
	"2018"	"2018"	"15-19 years"	"15-19"	"Georgia"	"13"	402	728370	55.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Hawaii"	"15"	31	77179	40.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Idaho"	"16"	87	124506	69.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Illinois"	"17"	381	828205	46.0
	"2018"	"2018"	"15-19 years"	"15-19"	"Indiana"	"18"	305	455653	66.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Iowa"	"19"	103	214122	48.1
	"2018"	"2018"	"15-19 years"	"15-19"	"Kansas"	"20"	125	200274	62.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Kentucky"	"21"	180	287105	62.7
	"2018"	"2018"	"15-19 years"	"15-19"	"Louisiana"	"22"	202	296013	68.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Maine"	"23"	40	77391	51.7
	"2018"	"2018"	"15-19 years"	"15-19"	"Maryland"	"24"	181	381504	47.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Massachusetts"	"25"	109	455406	23.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Michigan"	"26"	300	653747	45.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Minnesota"	"27"	143	357809	40.0
	"2018"	"2018"	"15-19 years"	"15-19"	"Mississippi"	"28"	163	205933	79.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Missouri"	"29"	293	391387	74.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Montana"	"30"	49	64023	76.5
	"2018"	"2018"	"15-19 years"	"15-19"	"Nebraska"	"31"	61	131579	46.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Nevada"	"32"	110	181098	60.7
	"2018"	"2018"	"15-19 years"	"15-19"	"New Hampshire"	"33"	39	85131	45.8
	"2018"	"2018"	"15-19 years"	"15-19"	"New Jersey"	"34"	153	557815	27.4
	"2018"	"2018"	"15-19 years"	"15-19"	"New Mexico"	"35"	92	139052	66.2
	"2018"	"2018"	"15-19 years"	"15-19"	"New York"	"36"	357	1188292	30.0
	"2018"	"2018"	"15-19 years"	"15-19"	"North Carolina"	"37"	331	684178	48.4
	"2018"	"2018"	"15-19 years"	"15-19"	"North Dakota"	"38"	12	47282	Unreliable
	"2018"	"2018"	"15-19 years"	"15-19"	"Ohio"	"39"	425	761897	55.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Oklahoma"	"40"	158	264140	59.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Oregon"	"41"	113	246835	45.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Pennsylvania"	"42"	349	810300	43.1
	"2018"	"2018"	"15-19 years"	"15-19"	"Rhode Island"	"44"	20	71426	28.0
	"2018"	"2018"	"15-19 years"	"15-19"	"South Carolina"	"45"	232	323894	71.6
	"2018"	"2018"	"15-19 years"	"15-19"	"South Dakota"	"46"	51	57674	88.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Tennessee"	"47"	310	425325	72.9
	"2018"	"2018"	"15-19 years"	"15-19"	"Texas"	"48"	1002	2032343	49.3
	"2018"	"2018"	"15-19 years"	"15-19"	"Utah"	"49"	130	248985	52.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Vermont"	"50"	16	42285	Unreliable
	"2018"	"2018"	"15-19 years"	"15-19"	"Virginia"	"51"	257	542284	47.4
	"2018"	"2018"	"15-19 years"	"15-19"	"Washington"	"53"	232	447049	51.9
	"2018"	"2018"	"15-19 years"	"15-19"	"West Virginia"	"54"	57	107227	53.2
	"2018"	"2018"	"15-19 years"	"15-19"	"Wisconsin"	"55"	158	378418	41.8
	"2018"	"2018"	"15-19 years"	"15-19"	"Wyoming"	"56"	21	36313	57.8
"Total"	"2018"	"2018"	"15-19 years"	"15-19"			10380	21097221	49.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Alabama"	"01"	433	325220	133.1
	"2018"	"2018"	"20-24 years"	"20-24"	"Alaska"	"02"	61	53000	115.1
	"2018"	"2018"	"20-24 years"	"20-24"	"Arizona"	"04"	565	492176	114.8
	"2018"	"2018"	"20-24 years"	"20-24"	"Arkansas"	"05"	228	201638	113.1
	"2018"	"2018"	"20-24 years"	"20-24"	"California"	"06"	1947	2711800	71.8
	"2018"	"2018"	"20-24 years"	"20-24"	"Colorado"	"08"	344	378514	90.9
	"2018"	"2018"	"20-24 years"	"20-24"	"Connecticut"	"09"	181	243116	74.5
	"2018"	"2018"	"20-24 years"	"20-24"	"Delaware"	"10"	61	58349	104.5
	"2018"	"2018"	"20-24 years"	"20-24"	"District of Columbia"	"11"	52	52924	98.3
	"2018"	"2018"	"20-24 years"	"20-24"	"Florida"	"12"	1274	1269823	100.3
	"2018"	"2018"	"20-24 years"	"20-24"	"Georgia"	"13"	694	716652	96.8
	"2018"	"2018"	"20-24 years"	"20-24"	"Hawaii"	"15"	55	90951	60.5
	"2018"	"2018"	"20-24 years"	"20-24"	"Idaho"	"16"	144	114894	125.3
	"2018"	"2018"	"20-24 years"	"20-24"	"Illinois"	"17"	795	847502	93.8
	"2018"	"2018"	"20-24 years"	"20-24"	"Indiana"	"18"	477	471214	101.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Iowa"	"19"	141	227778	61.9
	"2018"	"2018"	"20-24 years"	"20-24"	"Kansas"	"20"	205	213020	96.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Kentucky"	"21"	326	301530	108.1
	"2018"	"2018"	"20-24 years"	"20-24"	"Louisiana"	"22"	395	309308	127.7
	"2018"	"2018"	"20-24 years"	"20-24"	"Maine"	"23"	56	75024	74.6
	"2018"	"2018"	"20-24 years"	"20-24"	"Maryland"	"24"	380	376550	100.9
	"2018"	"2018"	"20-24 years"	"20-24"	"Massachusetts"	"25"	306	494067	61.9
	"2018"	"2018"	"20-24 years"	"20-24"	"Michigan"	"26"	643	694627	92.6
	"2018"	"2018"	"20-24 years"	"20-24"	"Minnesota"	"27"	245	360065	68.0
	"2018"	"2018"	"20-24 years"	"20-24"	"Mississippi"	"28"	244	206761	118.0
	"2018"	"2018"	"20-24 years"	"20-24"	"Missouri"	"29"	533	409228	130.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Montana"	"30"	79	72513	108.9
	"2018"	"2018"	"20-24 years"	"20-24"	"Nebraska"	"31"	90	137180	65.6
	"2018"	"2018"	"20-24 years"	"20-24"	"Nevada"	"32"	166	182064	91.2
	"2018"	"2018"	"20-24 years"	"20-24"	"New Hampshire"	"33"	75	89682	83.6
	"2018"	"2018"	"20-24 years"	"20-24"	"New Jersey"	"34"	485	551030	88.0
	"2018"	"2018"	"20-24 years"	"20-24"	"New Mexico"	"35"	178	141547	125.8
	"2018"	"2018"	"20-24 years"	"20-24"	"New York"	"36"	803	1302338	61.7
	"2018"	"2018"	"20-24 years"	"20-24"	"North Carolina"	"37"	732	697871	104.9
	"2018"	"2018"	"20-24 years"	"20-24"	"North Dakota"	"38"	49	63579	77.1
	"2018"	"2018"	"20-24 years"	"20-24"	"Ohio"	"39"	783	758902	103.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Oklahoma"	"40"	255	273690	93.2
	"2018"	"2018"	"20-24 years"	"20-24"	"Oregon"	"41"	196	265773	73.7
	"2018"	"2018"	"20-24 years"	"20-24"	"Pennsylvania"	"42"	853	815049	104.7
	"2018"	"2018"	"20-24 years"	"20-24"	"Rhode Island"	"44"	49	76616	64.0
	"2018"	"2018"	"20-24 years"	"20-24"	"South Carolina"	"45"	416	332074	125.3
	"2018"	"2018"	"20-24 years"	"20-24"	"South Dakota"	"46"	52	59585	87.3
	"2018"	"2018"	"20-24 years"	"20-24"	"Tennessee"	"47"	484	445657	108.6
