Notes,Month Reported,Month Reported Code,State / Territory,State / Territory Code,Event Category,Event Category Code,Events Reported,Percent
,"Jan., 2020",2020/01,Baker Island,81,Emergency Room *,ER,1,0.00%
Total,"Jan., 2020",2020/01,Baker Island,81,,,1,0.00%
Total,"Jan., 2020",2020/01,,,,,31,0.05%
,"Oct., 2020",2020/10,Georgia,13,None of the above,NONE,1,0.00%
Total,"Oct., 2020",2020/10,Georgia,13,,,1,0.00%
,"Oct., 2020",2020/10,Tennessee,47,Emergency Room *,ER,1,0.00%
Total,"Oct., 2020",2020/10,Tennessee,47,,,1,0.00%
Total,"Oct., 2020",2020/10,,,,,2,0.00%
,"Dec., 2020",2020/12,Alabama,1,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Alabama,1,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Alabama,1,Emergency Room *,ER,13,0.02%
,"Dec., 2020",2020/12,Alabama,1,Office Visit *,OF,15,0.02%
,"Dec., 2020",2020/12,Alabama,1,None of the above,NONE,88,0.13%
Total,"Dec., 2020",2020/12,Alabama,1,,,118,0.17%
,"Dec., 2020",2020/12,Alaska,2,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Alaska,2,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Alaska,2,Emergency Room *,ER,44,0.06%
,"Dec., 2020",2020/12,Alaska,2,Office Visit *,OF,18,0.03%
,"Dec., 2020",2020/12,Alaska,2,None of the above,NONE,61,0.09%
Total,"Dec., 2020",2020/12,Alaska,2,,,129,0.19%
,"Dec., 2020",2020/12,Arizona,4,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Arizona,4,Hospitalized,H,7,0.01%
,"Dec., 2020",2020/12,Arizona,4,Emergency Room *,ER,59,0.09%
,"Dec., 2020",2020/12,Arizona,4,Office Visit *,OF,31,0.05%
,"Dec., 2020",2020/12,Arizona,4,None of the above,NONE,131,0.19%
Total,"Dec., 2020",2020/12,Arizona,4,,,231,0.34%
,"Dec., 2020",2020/12,Arkansas,5,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Arkansas,5,Emergency Room *,ER,26,0.04%
,"Dec., 2020",2020/12,Arkansas,5,Office Visit *,OF,18,0.03%
,"Dec., 2020",2020/12,Arkansas,5,None of the above,NONE,142,0.21%
Total,"Dec., 2020",2020/12,Arkansas,5,,,189,0.28%
,"Dec., 2020",2020/12,California,6,Death,DTH,2,0.00%
,"Dec., 2020",2020/12,California,6,Life Threatening,LT,9,0.01%
,"Dec., 2020",2020/12,California,6,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,California,6,Hospitalized,H,12,0.02%
,"Dec., 2020",2020/12,California,6,Emergency Room *,ER,245,0.36%
,"Dec., 2020",2020/12,California,6,Office Visit *,OF,160,0.24%
,"Dec., 2020",2020/12,California,6,None of the above,NONE,640,0.94%
Total,"Dec., 2020",2020/12,California,6,,,1069,1.58%
,"Dec., 2020",2020/12,Colorado,8,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Colorado,8,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Colorado,8,Emergency Room *,ER,46,0.07%
,"Dec., 2020",2020/12,Colorado,8,Office Visit *,OF,60,0.09%
,"Dec., 2020",2020/12,Colorado,8,None of the above,NONE,188,0.28%
Total,"Dec., 2020",2020/12,Colorado,8,,,296,0.44%
,"Dec., 2020",2020/12,Connecticut,9,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Connecticut,9,Emergency Room *,ER,27,0.04%
,"Dec., 2020",2020/12,Connecticut,9,Office Visit *,OF,17,0.03%
,"Dec., 2020",2020/12,Connecticut,9,None of the above,NONE,95,0.14%
Total,"Dec., 2020",2020/12,Connecticut,9,,,140,0.21%
,"Dec., 2020",2020/12,Delaware,10,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Delaware,10,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Delaware,10,Emergency Room *,ER,5,0.01%
,"Dec., 2020",2020/12,Delaware,10,Office Visit *,OF,1,0.00%
,"Dec., 2020",2020/12,Delaware,10,None of the above,NONE,7,0.01%
Total,"Dec., 2020",2020/12,Delaware,10,,,15,0.02%
,"Dec., 2020",2020/12,District of Columbia,11,Emergency Room *,ER,1,0.00%
,"Dec., 2020",2020/12,District of Columbia,11,Office Visit *,OF,1,0.00%
,"Dec., 2020",2020/12,District of Columbia,11,None of the above,NONE,11,0.02%
Total,"Dec., 2020",2020/12,District of Columbia,11,,,13,0.02%
,"Dec., 2020",2020/12,Florida,12,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Florida,12,Hospitalized,H,9,0.01%
,"Dec., 2020",2020/12,Florida,12,Existing Hospitalization Prolonged,HP,1,0.00%
,"Dec., 2020",2020/12,Florida,12,Emergency Room *,ER,57,0.08%
,"Dec., 2020",2020/12,Florida,12,Office Visit *,OF,69,0.10%
,"Dec., 2020",2020/12,Florida,12,None of the above,NONE,323,0.48%
Total,"Dec., 2020",2020/12,Florida,12,,,460,0.68%
,"Dec., 2020",2020/12,Georgia,13,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Georgia,13,Congenital Anomaly / Birth Defect *,BD,1,0.00%
,"Dec., 2020",2020/12,Georgia,13,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Georgia,13,Emergency Room *,ER,28,0.04%
,"Dec., 2020",2020/12,Georgia,13,Office Visit *,OF,19,0.03%
,"Dec., 2020",2020/12,Georgia,13,None of the above,NONE,140,0.21%
Total,"Dec., 2020",2020/12,Georgia,13,,,192,0.28%
,"Dec., 2020",2020/12,Hawaii,15,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Hawaii,15,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Hawaii,15,Emergency Room *,ER,12,0.02%
,"Dec., 2020",2020/12,Hawaii,15,Office Visit *,OF,7,0.01%
,"Dec., 2020",2020/12,Hawaii,15,None of the above,NONE,55,0.08%
Total,"Dec., 2020",2020/12,Hawaii,15,,,76,0.11%
,"Dec., 2020",2020/12,Idaho,16,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Idaho,16,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Idaho,16,Emergency Room *,ER,19,0.03%
,"Dec., 2020",2020/12,Idaho,16,Office Visit *,OF,12,0.02%
,"Dec., 2020",2020/12,Idaho,16,None of the above,NONE,51,0.08%
Total,"Dec., 2020",2020/12,Idaho,16,,,87,0.13%
,"Dec., 2020",2020/12,Illinois,17,Death,DTH,2,0.00%
,"Dec., 2020",2020/12,Illinois,17,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Illinois,17,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Illinois,17,Hospitalized,H,6,0.01%
,"Dec., 2020",2020/12,Illinois,17,Emergency Room *,ER,112,0.17%
,"Dec., 2020",2020/12,Illinois,17,Office Visit *,OF,79,0.12%
,"Dec., 2020",2020/12,Illinois,17,None of the above,NONE,326,0.48%
Total,"Dec., 2020",2020/12,Illinois,17,,,527,0.78%
,"Dec., 2020",2020/12,Indiana,18,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Indiana,18,Emergency Room *,ER,25,0.04%
,"Dec., 2020",2020/12,Indiana,18,Office Visit *,OF,16,0.02%
,"Dec., 2020",2020/12,Indiana,18,None of the above,NONE,150,0.22%
Total,"Dec., 2020",2020/12,Indiana,18,,,194,0.29%
,"Dec., 2020",2020/12,Iowa,19,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Iowa,19,Emergency Room *,ER,25,0.04%
,"Dec., 2020",2020/12,Iowa,19,Office Visit *,OF,17,0.03%
,"Dec., 2020",2020/12,Iowa,19,None of the above,NONE,87,0.13%
Total,"Dec., 2020",2020/12,Iowa,19,,,130,0.19%
,"Dec., 2020",2020/12,Kansas,20,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Kansas,20,Emergency Room *,ER,24,0.04%
,"Dec., 2020",2020/12,Kansas,20,Office Visit *,OF,23,0.03%
,"Dec., 2020",2020/12,Kansas,20,None of the above,NONE,109,0.16%
Total,"Dec., 2020",2020/12,Kansas,20,,,157,0.23%
,"Dec., 2020",2020/12,Kentucky,21,Death,DTH,4,0.01%
,"Dec., 2020",2020/12,Kentucky,21,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Kentucky,21,Hospitalized,H,4,0.01%
,"Dec., 2020",2020/12,Kentucky,21,Emergency Room *,ER,23,0.03%
,"Dec., 2020",2020/12,Kentucky,21,Office Visit *,OF,11,0.02%
,"Dec., 2020",2020/12,Kentucky,21,None of the above,NONE,74,0.11%
Total,"Dec., 2020",2020/12,Kentucky,21,,,118,0.17%
,"Dec., 2020",2020/12,Louisiana,22,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Louisiana,22,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Louisiana,22,Emergency Room *,ER,17,0.03%
,"Dec., 2020",2020/12,Louisiana,22,Office Visit *,OF,17,0.03%
,"Dec., 2020",2020/12,Louisiana,22,None of the above,NONE,67,0.10%
Total,"Dec., 2020",2020/12,Louisiana,22,,,104,0.15%
,"Dec., 2020",2020/12,Maine,23,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Maine,23,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Maine,23,Emergency Room *,ER,17,0.03%
,"Dec., 2020",2020/12,Maine,23,Office Visit *,OF,22,0.03%
,"Dec., 2020",2020/12,Maine,23,None of the above,NONE,87,0.13%
Total,"Dec., 2020",2020/12,Maine,23,,,128,0.19%
,"Dec., 2020",2020/12,Maryland,24,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Maryland,24,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Maryland,24,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Maryland,24,Emergency Room *,ER,17,0.03%
,"Dec., 2020",2020/12,Maryland,24,Office Visit *,OF,19,0.03%
,"Dec., 2020",2020/12,Maryland,24,None of the above,NONE,104,0.15%
Total,"Dec., 2020",2020/12,Maryland,24,,,145,0.21%
,"Dec., 2020",2020/12,Massachusetts,25,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Massachusetts,25,Hospitalized,H,4,0.01%
,"Dec., 2020",2020/12,Massachusetts,25,Emergency Room *,ER,42,0.06%
,"Dec., 2020",2020/12,Massachusetts,25,Office Visit *,OF,42,0.06%
,"Dec., 2020",2020/12,Massachusetts,25,None of the above,NONE,179,0.26%
Total,"Dec., 2020",2020/12,Massachusetts,25,,,269,0.40%
,"Dec., 2020",2020/12,Michigan,26,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Michigan,26,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Michigan,26,Hospitalized,H,4,0.01%
,"Dec., 2020",2020/12,Michigan,26,Emergency Room *,ER,57,0.08%
,"Dec., 2020",2020/12,Michigan,26,Office Visit *,OF,27,0.04%
,"Dec., 2020",2020/12,Michigan,26,None of the above,NONE,194,0.29%
Total,"Dec., 2020",2020/12,Michigan,26,,,286,0.42%
,"Dec., 2020",2020/12,Minnesota,27,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Minnesota,27,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Minnesota,27,Emergency Room *,ER,32,0.05%
,"Dec., 2020",2020/12,Minnesota,27,Office Visit *,OF,18,0.03%
,"Dec., 2020",2020/12,Minnesota,27,None of the above,NONE,117,0.17%
Total,"Dec., 2020",2020/12,Minnesota,27,,,172,0.25%
,"Dec., 2020",2020/12,Mississippi,28,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Mississippi,28,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Mississippi,28,Emergency Room *,ER,14,0.02%
,"Dec., 2020",2020/12,Mississippi,28,Office Visit *,OF,11,0.02%
,"Dec., 2020",2020/12,Mississippi,28,None of the above,NONE,32,0.05%
Total,"Dec., 2020",2020/12,Mississippi,28,,,59,0.09%
,"Dec., 2020",2020/12,Missouri,29,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Missouri,29,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Missouri,29,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Missouri,29,Existing Hospitalization Prolonged,HP,1,0.00%
,"Dec., 2020",2020/12,Missouri,29,Emergency Room *,ER,41,0.06%
,"Dec., 2020",2020/12,Missouri,29,Office Visit *,OF,34,0.05%
,"Dec., 2020",2020/12,Missouri,29,None of the above,NONE,189,0.28%
Total,"Dec., 2020",2020/12,Missouri,29,,,271,0.40%
,"Dec., 2020",2020/12,Montana,30,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Montana,30,Emergency Room *,ER,6,0.01%
,"Dec., 2020",2020/12,Montana,30,Office Visit *,OF,11,0.02%
,"Dec., 2020",2020/12,Montana,30,None of the above,NONE,141,0.21%
Total,"Dec., 2020",2020/12,Montana,30,,,159,0.23%
,"Dec., 2020",2020/12,Nebraska,31,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Nebraska,31,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Nebraska,31,Emergency Room *,ER,18,0.03%
,"Dec., 2020",2020/12,Nebraska,31,Office Visit *,OF,13,0.02%
,"Dec., 2020",2020/12,Nebraska,31,None of the above,NONE,75,0.11%
Total,"Dec., 2020",2020/12,Nebraska,31,,,108,0.16%
,"Dec., 2020",2020/12,Nevada,32,Emergency Room *,ER,8,0.01%
,"Dec., 2020",2020/12,Nevada,32,Office Visit *,OF,8,0.01%
,"Dec., 2020",2020/12,Nevada,32,None of the above,NONE,71,0.10%
Total,"Dec., 2020",2020/12,Nevada,32,,,87,0.13%
,"Dec., 2020",2020/12,New Hampshire,33,Hospitalized,H,2,0.00%
,"Dec., 2020",2020/12,New Hampshire,33,Emergency Room *,ER,15,0.02%
,"Dec., 2020",2020/12,New Hampshire,33,Office Visit *,OF,6,0.01%
,"Dec., 2020",2020/12,New Hampshire,33,None of the above,NONE,32,0.05%
Total,"Dec., 2020",2020/12,New Hampshire,33,,,55,0.08%
,"Dec., 2020",2020/12,New Jersey,34,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,New Jersey,34,Hospitalized,H,6,0.01%
,"Dec., 2020",2020/12,New Jersey,34,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Dec., 2020",2020/12,New Jersey,34,Emergency Room *,ER,64,0.09%
,"Dec., 2020",2020/12,New Jersey,34,Office Visit *,OF,43,0.06%
,"Dec., 2020",2020/12,New Jersey,34,None of the above,NONE,182,0.27%
Total,"Dec., 2020",2020/12,New Jersey,34,,,297,0.44%
,"Dec., 2020",2020/12,New Mexico,35,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,New Mexico,35,Emergency Room *,ER,19,0.03%
,"Dec., 2020",2020/12,New Mexico,35,Office Visit *,OF,23,0.03%
,"Dec., 2020",2020/12,New Mexico,35,None of the above,NONE,55,0.08%
Total,"Dec., 2020",2020/12,New Mexico,35,,,100,0.15%
,"Dec., 2020",2020/12,New York,36,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,New York,36,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,New York,36,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,New York,36,Hospitalized,H,12,0.02%
,"Dec., 2020",2020/12,New York,36,Emergency Room *,ER,116,0.17%
,"Dec., 2020",2020/12,New York,36,Office Visit *,OF,71,0.10%
,"Dec., 2020",2020/12,New York,36,None of the above,NONE,378,0.56%
Total,"Dec., 2020",2020/12,New York,36,,,582,0.86%
,"Dec., 2020",2020/12,North Carolina,37,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,North Carolina,37,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,North Carolina,37,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,North Carolina,37,Emergency Room *,ER,33,0.05%
,"Dec., 2020",2020/12,North Carolina,37,Office Visit *,OF,30,0.04%
,"Dec., 2020",2020/12,North Carolina,37,None of the above,NONE,157,0.23%
Total,"Dec., 2020",2020/12,North Carolina,37,,,223,0.33%
,"Dec., 2020",2020/12,North Dakota,38,Hospitalized,H,2,0.00%
,"Dec., 2020",2020/12,North Dakota,38,Emergency Room *,ER,6,0.01%
,"Dec., 2020",2020/12,North Dakota,38,Office Visit *,OF,6,0.01%
,"Dec., 2020",2020/12,North Dakota,38,None of the above,NONE,42,0.06%
Total,"Dec., 2020",2020/12,North Dakota,38,,,56,0.08%
,"Dec., 2020",2020/12,Ohio,39,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Ohio,39,Life Threatening,LT,8,0.01%
,"Dec., 2020",2020/12,Ohio,39,Hospitalized,H,5,0.01%
,"Dec., 2020",2020/12,Ohio,39,Emergency Room *,ER,47,0.07%
,"Dec., 2020",2020/12,Ohio,39,Office Visit *,OF,25,0.04%
,"Dec., 2020",2020/12,Ohio,39,None of the above,NONE,228,0.34%
Total,"Dec., 2020",2020/12,Ohio,39,,,314,0.46%
,"Dec., 2020",2020/12,Oklahoma,40,Life Threatening,LT,2,0.00%
,"Dec., 2020",2020/12,Oklahoma,40,Hospitalized,H,2,0.00%
,"Dec., 2020",2020/12,Oklahoma,40,Emergency Room *,ER,25,0.04%
,"Dec., 2020",2020/12,Oklahoma,40,Office Visit *,OF,22,0.03%
,"Dec., 2020",2020/12,Oklahoma,40,None of the above,NONE,120,0.18%
Total,"Dec., 2020",2020/12,Oklahoma,40,,,171,0.25%
,"Dec., 2020",2020/12,Oregon,41,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Oregon,41,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Oregon,41,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Oregon,41,Emergency Room *,ER,39,0.06%
,"Dec., 2020",2020/12,Oregon,41,Office Visit *,OF,13,0.02%
,"Dec., 2020",2020/12,Oregon,41,None of the above,NONE,71,0.10%
Total,"Dec., 2020",2020/12,Oregon,41,,,128,0.19%
,"Dec., 2020",2020/12,Pennsylvania,42,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Pennsylvania,42,Hospitalized,H,2,0.00%
,"Dec., 2020",2020/12,Pennsylvania,42,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Dec., 2020",2020/12,Pennsylvania,42,Emergency Room *,ER,54,0.08%
,"Dec., 2020",2020/12,Pennsylvania,42,Office Visit *,OF,54,0.08%
,"Dec., 2020",2020/12,Pennsylvania,42,None of the above,NONE,260,0.38%
Total,"Dec., 2020",2020/12,Pennsylvania,42,,,372,0.55%
,"Dec., 2020",2020/12,Rhode Island,44,Emergency Room *,ER,9,0.01%
,"Dec., 2020",2020/12,Rhode Island,44,Office Visit *,OF,3,0.00%
,"Dec., 2020",2020/12,Rhode Island,44,None of the above,NONE,38,0.06%
Total,"Dec., 2020",2020/12,Rhode Island,44,,,50,0.07%
,"Dec., 2020",2020/12,South Carolina,45,Emergency Room *,ER,13,0.02%
,"Dec., 2020",2020/12,South Carolina,45,Office Visit *,OF,9,0.01%
,"Dec., 2020",2020/12,South Carolina,45,None of the above,NONE,38,0.06%
Total,"Dec., 2020",2020/12,South Carolina,45,,,60,0.09%
,"Dec., 2020",2020/12,South Dakota,46,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,South Dakota,46,Emergency Room *,ER,13,0.02%
,"Dec., 2020",2020/12,South Dakota,46,Office Visit *,OF,19,0.03%
,"Dec., 2020",2020/12,South Dakota,46,None of the above,NONE,48,0.07%
Total,"Dec., 2020",2020/12,South Dakota,46,,,81,0.12%
,"Dec., 2020",2020/12,Tennessee,47,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Tennessee,47,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Tennessee,47,Emergency Room *,ER,38,0.06%
,"Dec., 2020",2020/12,Tennessee,47,Office Visit *,OF,26,0.04%
,"Dec., 2020",2020/12,Tennessee,47,None of the above,NONE,130,0.19%
Total,"Dec., 2020",2020/12,Tennessee,47,,,196,0.29%
,"Dec., 2020",2020/12,Texas,48,Death,DTH,1,0.00%
,"Dec., 2020",2020/12,Texas,48,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Texas,48,Permanent Disability,DBL,2,0.00%
,"Dec., 2020",2020/12,Texas,48,Hospitalized,H,12,0.02%
,"Dec., 2020",2020/12,Texas,48,Emergency Room *,ER,122,0.18%
,"Dec., 2020",2020/12,Texas,48,Office Visit *,OF,102,0.15%
,"Dec., 2020",2020/12,Texas,48,None of the above,NONE,521,0.77%
Total,"Dec., 2020",2020/12,Texas,48,,,763,1.12%
,"Dec., 2020",2020/12,Utah,49,Emergency Room *,ER,16,0.02%
,"Dec., 2020",2020/12,Utah,49,Office Visit *,OF,11,0.02%
,"Dec., 2020",2020/12,Utah,49,None of the above,NONE,42,0.06%
Total,"Dec., 2020",2020/12,Utah,49,,,69,0.10%
,"Dec., 2020",2020/12,Vermont,50,Emergency Room *,ER,12,0.02%
,"Dec., 2020",2020/12,Vermont,50,Office Visit *,OF,1,0.00%
,"Dec., 2020",2020/12,Vermont,50,None of the above,NONE,21,0.03%
Total,"Dec., 2020",2020/12,Vermont,50,,,34,0.05%
,"Dec., 2020",2020/12,Virginia,51,Hospitalized,H,2,0.00%
,"Dec., 2020",2020/12,Virginia,51,Emergency Room *,ER,41,0.06%
,"Dec., 2020",2020/12,Virginia,51,Office Visit *,OF,23,0.03%
,"Dec., 2020",2020/12,Virginia,51,None of the above,NONE,143,0.21%
Total,"Dec., 2020",2020/12,Virginia,51,,,209,0.31%
,"Dec., 2020",2020/12,Washington,53,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Washington,53,Hospitalized,H,4,0.01%
,"Dec., 2020",2020/12,Washington,53,Emergency Room *,ER,53,0.08%
,"Dec., 2020",2020/12,Washington,53,Office Visit *,OF,26,0.04%
,"Dec., 2020",2020/12,Washington,53,None of the above,NONE,151,0.22%
Total,"Dec., 2020",2020/12,Washington,53,,,237,0.35%
,"Dec., 2020",2020/12,West Virginia,54,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,West Virginia,54,Emergency Room *,ER,11,0.02%
,"Dec., 2020",2020/12,West Virginia,54,Office Visit *,OF,12,0.02%
,"Dec., 2020",2020/12,West Virginia,54,None of the above,NONE,62,0.09%
Total,"Dec., 2020",2020/12,West Virginia,54,,,86,0.13%
,"Dec., 2020",2020/12,Wisconsin,55,Life Threatening,LT,1,0.00%
,"Dec., 2020",2020/12,Wisconsin,55,Hospitalized,H,3,0.00%
,"Dec., 2020",2020/12,Wisconsin,55,Emergency Room *,ER,38,0.06%
,"Dec., 2020",2020/12,Wisconsin,55,Office Visit *,OF,16,0.02%
,"Dec., 2020",2020/12,Wisconsin,55,None of the above,NONE,105,0.15%
Total,"Dec., 2020",2020/12,Wisconsin,55,,,163,0.24%
,"Dec., 2020",2020/12,Wyoming,56,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Wyoming,56,Emergency Room *,ER,1,0.00%
,"Dec., 2020",2020/12,Wyoming,56,Office Visit *,OF,5,0.01%
,"Dec., 2020",2020/12,Wyoming,56,None of the above,NONE,11,0.02%
Total,"Dec., 2020",2020/12,Wyoming,56,,,18,0.03%
,"Dec., 2020",2020/12,American Samoa,60,Emergency Room *,ER,1,0.00%
,"Dec., 2020",2020/12,American Samoa,60,None of the above,NONE,1,0.00%
Total,"Dec., 2020",2020/12,American Samoa,60,,,2,0.00%
,"Dec., 2020",2020/12,Guam,66,Emergency Room *,ER,1,0.00%
,"Dec., 2020",2020/12,Guam,66,None of the above,NONE,1,0.00%
Total,"Dec., 2020",2020/12,Guam,66,,,2,0.00%
,"Dec., 2020",2020/12,Puerto Rico,72,Hospitalized,H,1,0.00%
,"Dec., 2020",2020/12,Puerto Rico,72,Emergency Room / Office Visit **,ER/OF,1,0.00%
,"Dec., 2020",2020/12,Puerto Rico,72,Emergency Room *,ER,34,0.05%
,"Dec., 2020",2020/12,Puerto Rico,72,Office Visit *,OF,25,0.04%
,"Dec., 2020",2020/12,Puerto Rico,72,None of the above,NONE,56,0.08%
Total,"Dec., 2020",2020/12,Puerto Rico,72,,,117,0.17%
,"Dec., 2020",2020/12,Unknown,U,Life Threatening,LT,3,0.00%
,"Dec., 2020",2020/12,Unknown,U,Permanent Disability,DBL,1,0.00%
,"Dec., 2020",2020/12,Unknown,U,Hospitalized,H,7,0.01%
,"Dec., 2020",2020/12,Unknown,U,Emergency Room / Office Visit **,ER/OF,16,0.02%
